buitendeurbeslag;;;;
;515185;;dekzeil blauw 8 x 10 m;57,6
;;;;
lijm en kit;;;;
;516214;;pur schuim bussen rebus statiegeld per 5 dozen 217;7,67
;516222;;purschuimpistool medium;28,9
;516231;;purschuim reiniger per stuk;8,05
;516301;;beglazingskit window wit;7,33
;516302;;beglazingskit window grijs;7,33
;516305;;beglazingskit windom bruin;7,33
;516287;;acrylkit wit exterieur;
;516254;;siliconenkit no transparant;6,89
;516252;;siliconenkit no grijs;6,89
;516251;;siliconenkit no wit;6,89
;516253;;siliconenkit no zwart;6,89
;516256;;siliconenkit no trans/grijs;
;516276;;siliconenkit sanitait trans/grijs;5,88
;516405;;power-tec lijmkit wit;7,34
;516410;;constructielijm tix;9,87
;500347;;houtlijm per emmer van 10 kg;
;6SO60040;;spit multimax lijmkokers voor pistool;
;;;;
glas;;;;
;46PL2215;;glasband wit   4 x 9 mm 275 m;
;46PL2210;;glasband wit   3 x 9 mm 275 m;
;46PL2016;;glasband grijs 4 x 9 mm 100 m;
;479074;;dubbelzijdig tape 19 x 3 mm ;
;479072;;dubbelzijdig tape 12 x 3 mm;
;45HE2404;;glasblokjes geel 100 x 24 x4;
;45HE2403;;glasblokjes rood 100 x 24 x3;
;45HE2402;;glasblokjes blauw 100 x 24 x 2;
;45HE 2401;;glasblokjes wit   100 x 24 x 1;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
verf en plakband;;;;
;516631;;ducttape 50 mm;
;516622;;bekistingstape geel;8,05
;479001;;schilderstape 20 mm;2,1
;;;schilderstape 50 mm;
;641383;;verfrol 100 mm superfijn ronde top 10 stuks;12,41
;641361;;verfbakje voor 100 mm roller;1,25
;516820;;kwast plat 50 mm;
;516805;;kwast rond nr 18;
;636384;;schuurbanden 100 x 610 k 80   100 st;255,6
;970104;;houtvulmiddel meranti met verharder;26,36
;601429;;slaglijnpoeder blauw;
;507879;;terspa primer zwart  bus 1 liter;35,53
;507881;;gevelplaat tape zwart 12 x 3 mm;12,9
;507880;;gevelplaat cleaner 1 liter;11,28
;;;;
;;;;
;;;;
kaders;;;;
;946015;;binnendeur kader 15 mm;
;946296;;knipkader 15 mm buitendraaiend;
;946012;;stolpstukjes voor kader 15 mm ;
;946294;;knipkader 12 mm binnendraaiend dk ramen;
;474409;;tochtstrip 4-g 3000 mm zwart prijs per meter;1,36
;455109;;kunststof kozijn hoekstrippen zwart 20x20 mm;
;468034;;traptrede rubber zwart T model rol 25m;35,8
;;;;
;;;;
;;;;
kantine;;;;
;516121;;wc papier per 4 stuks;
;975264;;handdoekrollen per 6 stuks;
;975014;;koffiebekers 3000 stuks;
;975019;;roerstokjes 2000 stuks;
;975186;;thee earl-grey;
;522293;;swarfega handzeep 4 l;
pbm;;;;
;847051;;pleisters 1 rol 5 m;
;515534;;fijnstofmasker met ventiel doos 12 stuks;17,55
;643442;;oorkappen peltor groen;25,23
;515521;;ruimzichtbril veiligheids;
;526401;;bouwhelm kelfort wit;10,92
;526449;;handschoenen xl      per 12;
;526450;;handschoenen xxl   per 12;
;526724;;regenbroek groen maat L;
;526709;;regenjas groen maat L;
;957872;;stofzakken voor starmix stofzuiger set van 5 stuks;
;716503;;stofzakken voor festool stofzuiger set van 5 stuks;
;;;;
;;;;
;;;;
;;;;
hand gereedschap;;;;
;601345;;rolmaat stanley 5 m;17,44
;606033;;handzaag bahco superior;
;623015;;knipex moniertang 250mm;
;623119;;waterpomptang 250 mm;
;721300;;arrow T 50 handtaiker;72,5
;651334;;waterpas sola 2,0 m;67,75
;514687;;kabelhaspel 25 meter kelfort;
;653022;;vetkrijt  rood;4,95
;600199;;afbreekmesjes per 10 stuks;
;600221;;stanly mesjes  doosje a 100 st;
;487083;;metselkoord per rol van 50 m1;1,15
;652621;;duimstokken 10 kunststof wit prijs is per stuk;6,88
;653003;;lira potloden 1 doos a 100 stuks rood prijs is per stuk;1,29
;516662;;straatbezem 40 cm rood;
;516642;;handveger stoffer cocos;
;756192;;bezemsteel 150 cm;
;830330;;stekker mannetje 220 v;
;830331;;stekker vrouwtje 220 v;
;AX0048;;altrex pootdop achter klein;
;521911;;wd 40 spuitbus van 450 ml;
;515590;;tyrips 280 x 4,8 mm per 100;
;519804;;spanbanden per set van 2 st 25mm x 2,5 m;
;227016;;discusslot 70 mm sleutel nr 701;
;646244;;kruiwagen binnenband;
;838209;;batterij blokmodel 9v duracell;
;;;;
elektrische gereedschap;;;;
;711255;;accutol schroefmachine combiset 18v 5.0 ah;
;;;accutol boormachine makita;
;711371;;elektriche boormachine makita;
;957700;;elektrische kachel 3 kw 220 v;
;710109;;boorhamer bosch gbh;
;;;festool liniaalzaag;
;950530;;bouwlaser vector 305h;
;815110;;pozidr bits nr 1;
;815111;;pozidr bits nr 2;
;616865;;pozidr bits nr 3  krachtbit;
;609525;;bithouders  75 mm;14,53
;990657;;bit voor makita schroefmachine;
;TT0130;;O ring tbv spijkertacker rond 49 x3,5  mm;
;227121;;slot voor dissel aanhanger;
;226057;;discusslot abus;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
zaagbladen en slijpschijven;;;;
;61LJ1111;;diamantzaagblad universeel 115 mm  steen/beton;
;;;diamantzaagblad universeel 125 mm  steen/beton;
;632178;;metaal doorslijpschijven 125 mm doosje;
;61LJ3123;;universele steenslijp schijf 230 mm  steen /beton;
;62LJ4316;;Festool metaalzaagblad 160 mm  metaal en trespa;
;999503;;arbortech zaagbladenset   steenhapper;
;716154;;festool schaaf wisselbeitel 65 mm;
;WX5121040;;reciprozaagbladen wit voor spijkers;
;612607;;reciprozaagbladen hout;24,9
;612518;;reciprozaagbladen metaal;20,25
;612532;;decoupeerzaagjes hout;9,55
;;;;
nieten;;;;
;6p395062;;brads 30 mm per 1000;3,72
;6p095258;;brads 40 mm per 1000;4,94
;6p095435;;brads 50 mm per 1000;5,68
;33253;;T nagels 55 mm  per 1000;
;33371;;draainagels tacker 70 mm per 1000;24,78
;;;draainagels tacker 90 mm per 1000;
;6P395994;;brads 30 mm rvs per 1000;22,9
;6P395995;;brads 40  mm rvs per 1000;27,12
;6P395076;;brads 50 mm rvs per 1000;34,16
;33503;;arrow t 50 handtayker nieten 8 mm per 1250 st;7,7
;33190;;tochtstrip nieten haubold 5015;
spijkers;;;;
;515502;;duplex nagels per 5 kg;42,15
;515314;;draadnagels 27 x 55 mm;33,25
;;;draainagels voor balkschoenen;
;22023;;asfaltnagels 3.0 x 20   5 kg   prijs ?;10,6
;;;;
pluggen;;;;
;138903;;pluggen voor gips en ytong 8 x 40 mm;
;;;pluggen voor gips en ytong 8 x 65 mm;
;;;pluggen voor gips en ytong 10 x 50 mm;
;137505;;pluggen fischer 6 mm;
;137507;;pluggen fischer 8 mm;
;137509;;pluggen fischer 10 mm;
;516903;;spanhulzen 6 x 50 mm  prijs per 1000 stuks;149,47
;;;;
schroeven;;;;
;49HA3112;;kozijnschroeven  7,5 x 112 mm;
;6S058730;;betonschroef 6 x 50 boor 6 mm;
;516972;;gipsschroeven 3.9 x 35 doos op band 1000 stuks;26,84
;516971;;gipsschroeven 3.9 x 25 doos op band 1000 stuks;24,72
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
